Player,Position,Draft Year,POTW Counts,Age,Height,Weight
Michael Jordan,SG,1984,25,27.0,198.0,98.0
Michael Redd,G,2000,2,27.0,198.0,100.0
Micheal Ray Richardson,PG,1978,2,29.0,196.0,86.0
Mike Bibby,G,1998,2,26.5,188.0,88.0
Mike James,G,1998,1,30.0,188.0,85.0
Mitch Richmond,SG,1988,2,28.0,196.0,98.0
Mo Williams,G,2003,3,32.0,185.0,90.0
Monta Ellis,G,2005,5,27.0,190.0,84.0
Mookie Blaylock,PG,1989,1,24.0,185.0,86.0
Moses Malone,C,1976,2,30.0,208.0,98.0
Nate Robinson,G,2005,1,28.0,175.0,82.0
Nick Anderson,GF,1989,3,25.0,198.0,103.0
Nicolas Batum,F,2008,1,27.0,203.0,91.0
Nikola Jokic,C,2014,2,23.0,208.0,113.0
Nikola Pekovic,PF,2008,1,27.0,211.0,139.0
Nikola Vucevic,PF,2011,1,23.0,213.0,118.0
Oliver Miller,C,1992,1,23.0,206.0,127.0
Orlando Woolridge,PF,1981,1,25.0,206.0,98.0
Otis Thorpe,PF,1984,2,26.0,206.0,102.0
Patrick Ewing,C,1985,12,29.5,213.0,109.0
Pau Gasol,FC,2001,7,28.0,213.0,113.0
Paul George,GF,2010,5,23.0,206.0,100.0
Paul Millsap,FC,2006,2,30.0,203.0,112.0
Paul Pierce,SF,1998,17,27.0,201.0,107.0
Peja Stojakovic,F,1996,2,25.5,208.0,104.0
Penny Hardaway,PG,1993,2,23.5,201.0,88.0
Pervis Ellison,C,1989,1,24.0,206.0,95.0
Quentin Richardson,GF,2000,1,23.0,198.0,101.0
Rajon Rondo,PG,2006,1,25.0,185.0,84.0
Rashard Lewis,F,1998,2,23.5,208.0,107.0
Rasheed Wallace,FC,1995,1,27.0,211.0,104.0
Ray Allen,SG,1996,7,27.0,196.0,93.0
Reggie Jackson,G,2011,2,25.0,190.0,94.0
Reggie Lewis,SF,1987,1,26.0,201.0,88.0
Reggie Miller,SG,1987,3,30.0,201.0,84.0
Richard Hamilton,SG,1999,2,26.0,201.0,88.0
Richard Jefferson,SF,2001,3,23.0,201.0,106.0
Ricky Pierce,SG,1982,1,31.0,193.0,93.0
Rik Smits,C,1988,2,29.5,224.0,113.0
Robert Parish,C,1976,2,34.0,213.0,104.0
Rod Strickland,PG,1988,1,28.0,190.0,79.0
Rodney Stuckey,G,2007,2,22.5,196.0,93.0
Ron Harper,SG,1986,3,26.0,198.0,84.0
Rony Seikaly,C,1988,2,25.5,211.0,104.0
Roy Tarpley,PF,1986,1,23.0,211.0,104.0
Rumeal Robinson,PG,1990,1,26.0,188.0,88.0
Russell Westbrook,G,2008,17,26.0,190.0,91.0
Sam Cassell,G,1993,3,30.0,190.0,84.0
Scott Skiles,PG,1986,1,26.0,185.0,82.0
Scottie Pippen,SF,1987,5,28.0,203.0,103.0
Sean Elliott,SF,1989,1,25.0,203.0,93.0
Shaquille O'Neal,C,1992,20,27.0,216.0,147.0
Shareef Abdur-Rahim,F,1996,1,25.0,206.0,102.0
Shawn Kemp,C,1989,5,24.0,208.0,127.0
Shawn Marion,F,1999,6,25.0,201.0,103.0
Sidney Moncrief,SG,1979,1,28.0,190.0,82.0
Sleepy Floyd,PG,1982,1,24.0,190.0,77.0
Stephen Curry,G,2009,12,27.0,190.0,86.0
Stephen Jackson,GF,1997,2,30.0,203.0,100.0
Stephon Marbury,G,1996,7,26.0,188.0,82.0
Steve Francis,G,1999,4,25.0,190.0,88.0
Steve Nash,G,1996,8,32.0,190.0,81.0
Steve Smith,SG,1991,1,28.0,201.0,91.0
T.J. Ford,PG,2003,1,22.0,183.0,75.0
Terrell Brandon,PG,1991,2,25.5,180.0,82.0
Terry Cummings,PF,1982,2,25.5,206.0,100.0
Terry Mills,PF,1990,1,29.0,208.0,104.0
Terry Teagle,SG,1982,1,29.0,196.0,88.0
Thaddeus Young,F,2007,1,25.0,203.0,100.0
Tim Duncan,FC,1997,23,26.0,211.0,113.0
Tim Hardaway,PG,1989,6,25.0,183.0,79.0
Tobias Harris,F,2011,1,25.0,206.0,107.0
Tom Chambers,PF,1981,3,29.0,208.0,100.0
Tom McMillen,PF,1974,1,32.0,211.0,98.0
Tony Parker,G,2001,8,27.0,188.0,84.0
Tracy McGrady,GF,1997,12,25.0,203.0,95.0
Ty Lawson,PG,2009,2,24.5,180.0,88.0
Vern Fleming,G,1984,1,28.0,196.0,84.0
Victor Oladipo,G,2013,3,25.0,193.0,95.0
Vince Carter,SF,1998,11,27.0,198.0,100.0
Vlade Divac,C,1989,1,27.0,216.0,118.0
Voshon Lenard,SG,1994,1,30.0,193.0,93.0
Wesley Person,SG,1994,1,26.0,198.0,88.0
World B. Free,G,1975,1,31.0,188.0,84.0
Xavier McDaniel,PF,1985,2,24.5,201.0,93.0
Yao Ming,C,2002,6,25.5,229.0,141.0
Zach Randolph,PF,2001,4,29.0,206.0,118.0
Zydrunas Ilgauskas,C,1996,1,28.0,221.0,118.0
