Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
24,All,1990-02-25,1987,216.0,David Robinson,C,1990,0,San Antonio Spurs,113.0,1.0
30,All,1990-02-18,1981,208.0,Tom Chambers,PF,1990,8,Phoenix Suns,100.0,1.0
23,All,1990-02-04,1989,183.0,Tim Hardaway,PG,1990,0,Golden State Warriors,79.0,1.0
26,All,1990-01-28,1985,206.0,Karl Malone,PF,1990,4,Utah Jazz,120.0,1.0
27,All,1990-01-21,1984,190.0,Alvin Robertson,SG,1990,5,Milwaukee Bucks,84.0,1.0
26,All,1990-01-14,1986,198.0,Ron Harper,SG,1990,3,Los Angeles Clippers,84.0,1.0
29,All,1990-01-07,1982,196.0,Terry Teagle,SG,1990,7,Golden State Warriors,88.0,1.0
26,All,1989-12-30,1985,206.0,Karl Malone,PF,1990,4,Utah Jazz,120.0,1.0
28,All,1989-12-24,1982,206.0,Terry Cummings,PF,1990,7,San Antonio Spurs,100.0,1.0
26,All,1989-12-17,1985,201.0,Chris Mullin,SF,1990,4,Golden State Warriors,98.0,1.0
27,All,1989-12-10,1984,198.0,Michael Jordan,SG,1990,5,Chicago Bulls,98.0,1.0
27,All,1989-12-03,1985,213.0,Patrick Ewing,C,1990,4,New York Knicks,109.0,1.0
27,All,1989-11-26,1983,201.0,Clyde Drexler,SG,1990,6,Portland Trail Blazers,95.0,1.0
27,All,1989-11-19,1984,185.0,John Stockton,PG,1990,5,Utah Jazz,77.0,1.0
28,All,1989-11-12,1984,196.0,Vern Fleming,G,1990,5,Indiana Pacers,84.0,1.0
26,All,1991-04-21,1986,185.0,Scott Skiles,PG,1991,4,Orlando Magic,82.0,1.0
28,All,1991-04-14,1983,201.0,Clyde Drexler,SG,1991,7,Portland Trail Blazers,95.0,1.0
31,All,1991-04-07,1979,206.0,Magic Johnson,PG,1991,11,Los Angeles Lakers,116.0,1.0
28,All,1991-03-31,1983,201.0,Clyde Drexler,SG,1991,7,Portland Trail Blazers,95.0,1.0
25,All,1991-03-24,1988,196.0,Mitch Richmond,SG,1991,2,Golden State Warriors,98.0,1.0
